INCIDENT NUMBER,RESPONSE TYPE,FOUND IN SEARCH AREA
NY-2018-WS-353,Rescue,TRUE
NY-2018-WS-352,Rescue,FALSE
NY-2018-WS-351,Search,TRUE
NY-2018-WS-350,Rescue,TRUE
NY-2018-WS-350,Rescue,TRUE
NY-2018-WS-350,Rescue,TRUE
NY-2018-WS-349,Search,TRUE
NY-2018-WS-348,Search,TRUE
NY-2018-WS-347,Rescue,TRUE
NY-2018-WS-346,Search,TRUE
NY-2018-WS-345,Search,FALSE
NY-2018-WS-344,Recovery,TRUE
NY-2018-WS-343,Rescue,TRUE
NY-2018-WS-343,Rescue,TRUE
NY-2018-WS-342,Rescue,TRUE
NY-2018-WS-341,Recovery,TRUE
NY-2018-WS-338,Rescue,FALSE
NY-2018-WS-337,Search,FALSE
NY-2018-WS-336,Rescue,FALSE
NY-2018-WS-336,Rescue,FALSE
NY-2018-WS-335,Rescue,TRUE
NY-2018-WS-334,Rescue,FALSE
NY-2018-WS-333,Search,TRUE
NY-2018-WS-332,Search,TRUE
NY-2018-WS-331,Search,TRUE
NY-2018-WS-331,Search,TRUE
NY-2018-WS-330,Recovery,TRUE
NY-2018-WS-329,Rescue,TRUE
NY-2018-WS-328,Search,TRUE
NY-2018-WS-327,Rescue,FALSE
NY-2018-WS-326,Rescue,TRUE
NY-2018-WS-325,Search,TRUE
NY-2018-WS-324,Search,FALSE
NY-2018-WS-324,Search,FALSE
NY-2018-WS-323,Search,TRUE
NY-2018-WS-323,Search,TRUE
NY-2018-WS-322,Search,TRUE
NY-2018-WS-321,Search,TRUE
NY-2018-WS-321,Search,TRUE
NY-2018-WS-320,Rescue,TRUE
NY-2018-WS-319,Search,TRUE
NY-2018-WS-319,Search,TRUE
NY-2018-WS-318,Search,FALSE
NY-2018-WS-317,Rescue,TRUE
NY-2018-WS-316,Search,TRUE
NY-2018-WS-315,Search,TRUE
NY-2018-WS-314,Search,TRUE
NY-2018-WS-313,Rescue,TRUE
NY-2018-WS-313,Rescue,TRUE
NY-2018-WS-312,Search,TRUE
NY-2018-WS-311,Search,FALSE
NY-2018-WS-310,Search,FALSE
NY-2018-WS-309,Rescue,TRUE
NY-2018-WS-308,Rescue,TRUE
NY-2018-WS-307,Search,TRUE
NY-2018-WS-307,Search,TRUE
NY-2018-WS-307,Search,TRUE
NY-2018-WS-307,Search,TRUE
NY-2018-WS-307,Search,TRUE
NY-2018-WS-306,Rescue,TRUE
NY-2018-WS-305,Rescue,TRUE
NY-2018-WS-304,Search,FALSE
NY-2018-WS-303,Rescue,FALSE
NY-2018-WS-302,Rescue,TRUE
NY-2018-WS-301,Search,TRUE
NY-2018-WS-300,Search,TRUE
NY-2018-WS-300,Search,TRUE
NY-2018-WS-299,Search,FALSE
NY-2018-WS-298,Rescue,FALSE
NY-2018-WS-297,Search,TRUE
NY-2018-WS-297,Search,TRUE
NY-2018-WS-296,Search,FALSE
NY-2018-WS-296,Search,FALSE
NY-2018-WS-295,Rescue,TRUE
NY-2018-WS-294,Search,TRUE
NY-2018-WS-293,Search,TRUE
NY-2018-WS-293,Search,TRUE
NY-2018-WS-292,Rescue,TRUE
NY-2018-WS-291,Search,TRUE
NY-2018-WS-291,Search,TRUE
NY-2018-WS-290,Search,TRUE
NY-2018-WS-290,Search,TRUE
NY-2018-WS-289,Rescue,FALSE
NY-2018-WS-288,Search,TRUE
NY-2018-WS-287,Search,TRUE
NY-2018-WS-286,Rescue,TRUE
NY-2018-WS-285,Rescue,FALSE
NY-2018-WS-284,Search,TRUE
NY-2018-WS-283,Search,TRUE
NY-2018-WS-282,Search,TRUE
NY-2018-WS-281,Search,TRUE
NY-2018-WS-280,Rescue,FALSE
NY-2018-WS-279,Rescue,TRUE
NY-2018-WS-278,Search,TRUE
NY-2018-WS-278,Search,TRUE
NY-2018-WS-277,Rescue,TRUE
NY-2018-WS-276,Rescue,TRUE
NY-2018-WS-275,Search,TRUE
NY-2018-WS-274,Rescue,TRUE
NY-2018-WS-273,Rescue,TRUE
NY-2018-WS-272,Search,TRUE
NY-2018-WS-272,Search,TRUE
NY-2018-WS-272,Search,TRUE
NY-2018-WS-271,Search,TRUE
NY-2018-WS-271,Search,TRUE
NY-2018-WS-271,Search,TRUE
NY-2018-WS-271,Search,TRUE
NY-2018-WS-270,Search,TRUE
NY-2018-WS-269,Search,FALSE
NY-2018-WS-267,Search,TRUE
NY-2018-WS-266,Search,TRUE
NY-2018-WS-266,Search,TRUE
NY-2018-WS-264,Search,TRUE
NY-2018-WS-264,Search,TRUE
NY-2018-WS-263,Rescue,TRUE
NY-2018-WS-263,Rescue,TRUE
NY-2018-WS-263,Rescue,TRUE
NY-2018-WS-262,Rescue,TRUE
NY-2018-WS-261,Rescue,TRUE
NY-2018-WS-260,Search,TRUE
NY-2018-WS-259,Rescue,FALSE
NY-2018-WS-259,Rescue,FALSE
NY-2018-WS-258,Search,FALSE
NY-2018-WS-257,Rescue,FALSE
NY-2018-WS-256,Rescue,TRUE
NY-2018-WS-255,Search,TRUE
NY-2018-WS-255,Search,TRUE
NY-2018-WS-254,Search,FALSE
NY-2018-WS-254,Search,TRUE
NY-2018-WS-253,Search,TRUE
NY-2018-WS-252,Rescue,FALSE
NY-2018-WS-251,Search,FALSE
NY-2018-WS-251,Search,TRUE
NY-2018-WS-250,Search,FALSE
NY-2018-WS-249,Search,TRUE
NY-2018-WS-248,Rescue,TRUE
NY-2018-WS-247,Rescue,TRUE
NY-2018-WS-247,Rescue,TRUE
NY-2018-WS-246,Rescue,FALSE
NY-2018-WS-245,Rescue,FALSE
NY-2018-WS-244,Rescue,TRUE
NY-2018-WS-243,Search,FALSE
NY-2018-WS-243,Search,FALSE
NY-2018-WS-242,Search,TRUE
NY-2018-WS-241,Search,FALSE
NY-2018-WS-240,Search,FALSE
NY-2018-WS-239,Rescue,TRUE
NY-2018-WS-239,Rescue,TRUE
NY-2018-WS-238,Search,FALSE
NY-2018-WS-238,Search,TRUE
NY-2018-WS-237,Search,TRUE
NY-2018-WS-237,Search,TRUE
NY-2018-WS-236,Recovery,TRUE
NY-2018-WS-235,Search,TRUE
NY-2018-WS-235,Search,FALSE
NY-2018-WS-235,Search,TRUE
NY-2018-WS-234,Rescue,TRUE
NY-2018-WS-233,Rescue,TRUE
NY-2018-WS-232,Recovery,TRUE
NY-2018-WS-231,Rescue,TRUE
NY-2018-WS-230,Recovery,FALSE
NY-2018-WS-229,Search,TRUE
NY-2018-WS-229,Search,FALSE
NY-2018-WS-228,Rescue,FALSE
NY-2018-WS-227,Rescue,FALSE
NY-2018-WS-226,Rescue,TRUE
NY-2018-WS-225,Search,TRUE
NY-2018-WS-224,Rescue,FALSE
NY-2018-WS-223,Search,TRUE
NY-2018-WS-222,Search,FALSE
NY-2018-WS-222,Search,TRUE
NY-2018-WS-221,Search,TRUE
NY-2018-WS-220,Rescue,FALSE
NY-2018-WS-220,Rescue,FALSE
NY-2018-WS-220,Rescue,FALSE
NY-2018-WS-219,Rescue,TRUE
NY-2018-WS-219,Rescue,TRUE
NY-2018-WS-218,Search,TRUE
NY-2018-WS-217,Search,TRUE
NY-2018-WS-216,Search,TRUE
NY-2018-WS-215,Search,TRUE
NY-2018-WS-215,Search,TRUE
NY-2018-WS-215,Search,TRUE
NY-2018-WS-214,Rescue,TRUE
NY-2018-WS-213,Rescue,FALSE
NY-2018-WS-212,Search,TRUE
NY-2018-WS-211,Rescue,TRUE
NY-2018-WS-210,Search,TRUE
NY-2018-WS-209,Rescue,TRUE
NY-2018-WS-209,Rescue,FALSE
NY-2018-WS-208,Rescue,TRUE
NY-2018-WS-207,Rescue,TRUE
NY-2018-WS-206,Rescue,TRUE
NY-2018-WS-205,Rescue,TRUE
NY-2018-WS-204,Search,TRUE
NY-2018-WS-203,Search,TRUE
NY-2018-WS-202,Rescue,TRUE
NY-2018-WS-201,Rescue,TRUE
NY-2018-WS-201,Rescue,TRUE
NY-2018-WS-200,Rescue,TRUE
NY-2018-WS-199,Rescue,TRUE
NY-2018-WS-198,Rescue,FALSE
NY-2018-WS-197,Rescue,TRUE
NY-2018-WS-196,Rescue,TRUE
NY-2018-WS-195,Rescue,FALSE
NY-2018-WS-195,Rescue,FALSE
NY-2018-WS-195,Rescue,FALSE
NY-2018-WS-195,Rescue,FALSE
NY-2018-WS-195,Rescue,FALSE
NY-2018-WS-194,Search,TRUE
NY-2018-WS-194,Search,TRUE
NY-2018-WS-193,Search,TRUE
NY-2018-WS-193,Search,TRUE
NY-2018-WS-192,Rescue,FALSE
NY-2018-WS-191,Recovery,TRUE
NY-2018-WS-190,Search,TRUE
NY-2018-WS-190,Search,TRUE
NY-2018-WS-189,Rescue,TRUE
NY-2018-WS-188,Rescue,TRUE
NY-2018-WS-187,Search,TRUE
NY-2018-WS-187,Search,TRUE
NY-2018-WS-187,Search,TRUE
NY-2018-WS-187,Search,TRUE
NY-2018-WS-186,Rescue,FALSE
NY-2018-WS-185,Search,TRUE
NY-2018-WS-184,Search,TRUE
NY-2018-WS-183,Recovery,FALSE
NY-2018-WS-182,Rescue,TRUE
NY-2018-WS-181,Recovery,TRUE
NY-2018-WS-180,Rescue,FALSE
NY-2018-WS-179,Recovery,FALSE
NY-2018-WS-178,Search,TRUE
NY-2018-WS-178,Search,TRUE
NY-2018-WS-178,Search,TRUE
NY-2018-WS-178,Search,TRUE
NY-2018-WS-177,Search,TRUE
NY-2018-WS-176,Search,TRUE
NY-2018-WS-175,Rescue,FALSE
NY-2018-WS-173,Search,TRUE
NY-2018-WS-173,Search,TRUE
NY-2018-WS-173,Search,TRUE
NY-2018-WS-173,Search,TRUE
NY-2018-WS-173,Search,TRUE
NY-2018-WS-173,Search,TRUE
NY-2018-WS-173,Search,TRUE
NY-2018-WS-173,Search,TRUE
NY-2018-WS-173,Search,TRUE
NY-2018-WS-173,Search,TRUE
NY-2018-WS-173,Search,TRUE
NY-2018-WS-173,Search,TRUE
NY-2018-WS-173,Search,TRUE
NY-2018-WS-173,Search,TRUE
NY-2018-WS-173,Search,TRUE
NY-2018-WS-172,Rescue,TRUE
NY-2018-WS-172,Rescue,TRUE
NY-2018-WS-172,Rescue,TRUE
NY-2018-WS-172,Rescue,TRUE
NY-2018-WS-171,Rescue,FALSE
NY-2018-WS-170,Search,TRUE
NY-2018-WS-170,Search,TRUE
NY-2018-WS-170,Search,TRUE
NY-2018-WS-170,Search,TRUE
NY-2018-WS-169,Search,TRUE
NY-2018-WS-168,Search,TRUE
NY-2018-WS-167,Rescue,TRUE
NY-2018-WS-167,Rescue,TRUE
NY-2018-WS-166,Rescue,FALSE
NY-2018-WS-165,Search,TRUE
NY-2018-WS-165,Search,TRUE
NY-2018-WS-164,Search,TRUE
NY-2018-WS-163,Rescue,TRUE
NY-2018-WS-162,Rescue,TRUE
NY-2018-WS-161,Rescue,TRUE
NY-2018-WS-160,Rescue,FALSE
NY-2018-WS-159,Search,TRUE
NY-2018-WS-159,Search,TRUE
NY-2018-WS-158,Search,TRUE
NY-2018-WS-157,Recovery,TRUE
NY-2018-WS-156,Search,TRUE
NY-2018-WS-155,Rescue,TRUE
NY-2018-WS-154,Rescue,TRUE
NY-2018-WS-153,Rescue,TRUE
NY-2018-WS-152,Search,FALSE
NY-2018-WS-151,Search,TRUE
NY-2018-WS-150,Rescue,TRUE
NY-2018-WS-150,Rescue,TRUE
NY-2018-WS-149,Rescue,TRUE
NY-2018-WS-148,Rescue,FALSE
NY-2018-WS-147,Search,TRUE
NY-2018-WS-146,Rescue,FALSE
NY-2018-WS-145,Search,TRUE
NY-2018-WS-144,Rescue,FALSE
NY-2018-WS-143,Rescue,TRUE
NY-2018-WS-142,Rescue,FALSE
NY-2018-WS-141,Search,FALSE
NY-2018-WS-140,Rescue,FALSE
NY-2018-WS-139,Search,FALSE
NY-2018-WS-138,Search,TRUE
NY-2018-WS-137,Rescue,TRUE
NY-2018-WS-136,Search,TRUE
NY-2018-WS-136,Search,FALSE
NY-2018-WS-136,Search,FALSE
NY-2018-WS-135,Rescue,FALSE
NY-2018-WS-134,Rescue,TRUE
NY-2018-WS-133,Search,FALSE
NY-2018-WS-132,Search,TRUE
NY-2018-WS-132,Search,TRUE
NY-2018-WS-131,Rescue,TRUE
NY-2018-WS-130,Search,TRUE
NY-2018-WS-129,Rescue,TRUE
NY-2018-WS-128,Search,TRUE
NY-2018-WS-127,Search,TRUE
NY-2018-WS-127,Search,TRUE
NY-2018-WS-126,Rescue,TRUE
NY-2018-WS-126,Rescue,TRUE
NY-2018-WS-125,Rescue,TRUE
NY-2018-WS-124,Search,TRUE
NY-2018-WS-123,Search,TRUE
NY-2018-WS-122,Rescue,TRUE
NY-2018-WS-122,Rescue,TRUE
NY-2018-WS-121,Search,TRUE
NY-2018-WS-120,Search,FALSE
NY-2018-WS-119,Search,TRUE
NY-2018-WS-119,Search,FALSE
NY-2018-WS-118,Rescue,TRUE
NY-2018-WS-117,Rescue,TRUE
NY-2018-WS-116,Search,TRUE
NY-2018-WS-115,Search,FALSE
NY-2018-WS-114,Search,TRUE
NY-2018-WS-114,Search,TRUE
NY-2018-WS-114,Search,FALSE
NY-2018-WS-114,Search,TRUE
NY-2018-WS-114,Search,TRUE
NY-2018-WS-113,Search,TRUE
NY-2018-WS-112,Search,FALSE
NY-2018-WS-111,Rescue,FALSE
NY-2018-WS-110,Rescue,TRUE
NY-2018-WS-109,Rescue,FALSE
NY-2018-WS-108,Rescue,TRUE
NY-2018-WS-107,Search,TRUE
NY-2018-WS-107,Search,TRUE
NY-2018-WS-106,Search,TRUE
NY-2018-WS-105,Rescue,TRUE
NY-2018-WS-104,Search,TRUE
NY-2018-WS-102,Search,TRUE
NY-2018-WS-100,Search,TRUE
NY-2018-WS-099,Rescue,TRUE
NY-2018-WS-098,Rescue,FALSE
NY-2018-WS-097,Search,TRUE
NY-2018-WS-096,Rescue,TRUE
NY-2018-WS-095,Rescue,FALSE
NY-2018-WS-094,Rescue,TRUE
NY-2018-WS-093,Rescue,TRUE
NY-2018-WS-093,Rescue,TRUE
NY-2018-WS-092,Rescue,TRUE
NY-2018-WS-091,Rescue,TRUE
NY-2018-WS-090,Search,TRUE
NY-2018-WS-090,Search,TRUE
NY-2018-WS-089,Search,TRUE
NY-2018-WS-089,Search,TRUE
NY-2018-WS-088,Search,FALSE
NY-2018-WS-087,Search,TRUE
NY-2018-WS-086,Rescue,TRUE
NY-2018-WS-085,Search,TRUE
NY-2018-WS-085,Search,FALSE
NY-2018-WS-084,Rescue,TRUE
NY-2018-WS-082,Search,TRUE
NY-2018-WS-081,Search,FALSE
NY-2018-WS-080,Rescue,FALSE
NY-2018-WS-079,Search,TRUE
NY-2018-WS-079,Search,TRUE
NY-2018-WS-078,Search,TRUE
NY-2018-WS-077,Search,TRUE
NY-2018-WS-077,Search,TRUE
NY-2018-WS-077,Search,TRUE
NY-2018-WS-077,Search,TRUE
NY-2018-WS-076,Rescue,TRUE
NY-2018-WS-075,Search,TRUE
NY-2018-WS-074,Recovery,FALSE
NY-2018-WS-073,Search,FALSE
NY-2018-WS-073,Search,FALSE
NY-2018-WS-073,Search,FALSE
NY-2018-WS-072,Rescue,TRUE
NY-2018-WS-071,Rescue,TRUE
NY-2018-WS-070,Rescue,TRUE
NY-2018-WS-069,Rescue,FALSE
NY-2018-WS-068,Search,TRUE
NY-2018-WS-067,Rescue,FALSE
NY-2018-WS-066,Search,TRUE
NY-2018-WS-066,Search,TRUE
NY-2018-WS-065,Search,TRUE
NY-2018-WS-065,Search,TRUE
NY-2018-WS-064,Search,TRUE
NY-2018-WS-063,Search,TRUE
NY-2018-WS-062,Search,TRUE
NY-2018-WS-061,Search,TRUE
NY-2018-WS-060,Search,FALSE
NY-2018-WS-059,Search,TRUE
NY-2018-WS-058,Rescue,TRUE
NY-2018-WS-058,Rescue,TRUE
NY-2018-WS-058,Rescue,TRUE
NY-2018-WS-057,Search,FALSE
NY-2018-WS-056,Recovery,TRUE
NY-2018-WS-055,Search,TRUE
NY-2018-WS-054,Rescue,TRUE
NY-2018-WS-053,Search,FALSE
NY-2018-WS-053,Search,FALSE
NY-2018-WS-051,Rescue,TRUE
NY-2018-WS-050,Search,TRUE
NY-2018-WS-049,Search,TRUE
NY-2018-WS-048,Search,TRUE
NY-2018-WS-047,Rescue,TRUE
NY-2018-WS-046,Rescue,TRUE
NY-2018-WS-046,Rescue,TRUE
NY-2018-WS-045,Rescue,TRUE
NY-2018-WS-045,Rescue,TRUE
NY-2018-WS-045,Rescue,TRUE
NY-2018-WS-044,Recovery,TRUE
NY-2018-WS-043,Rescue,TRUE
NY-2018-WS-042,Recovery,TRUE
NY-2018-WS-041,Search,TRUE
NY-2018-WS-040,Rescue,FALSE
NY-2018-WS-039,Rescue,TRUE
NY-2018-WS-039,Rescue,TRUE
NY-2018-WS-038,Search,TRUE
NY-2018-WS-038,Search,FALSE
NY-2018-WS-037,Search,TRUE
NY-2018-WS-037,Search,TRUE
NY-2018-WS-036,Rescue,TRUE
NY-2018-WS-036,Rescue,TRUE
NY-2018-WS-035,Rescue,FALSE
NY-2018-WS-034,Rescue,TRUE
NY-2018-WS-033,Rescue,FALSE
NY-2018-WS-032,Search,TRUE
NY-2018-WS-031,Rescue,TRUE
NY-2018-WS-030,Rescue,TRUE
NY-2018-WS-029,Search,TRUE
NY-2018-WS-028,Search,TRUE
NY-2018-WS-027,Rescue,TRUE
NY-2018-WS-026,Search,TRUE
NY-2018-WS-025,Search,TRUE
NY-2018-WS-024,Rescue,FALSE
NY-2018-WS-023,Search,TRUE
NY-2018-WS-022,Rescue,FALSE
NY-2018-WS-021,Rescue,TRUE
NY-2018-WS-020,Search,TRUE
NY-2018-WS-019,Rescue,TRUE
NY-2018-WS-019,Rescue,TRUE
NY-2018-WS-018,Rescue,FALSE
NY-2018-WS-018,Rescue,TRUE
NY-2018-WS-017,Search,FALSE
NY-2018-WS-016,Search,FALSE
NY-2018-WS-015,Rescue,FALSE
NY-2018-WS-014,Rescue,TRUE
NY-2018-WS-013,Rescue,FALSE
NY-2018-WS-013,Rescue,FALSE
NY-2018-WS-012,Search,FALSE
NY-2018-WS-011,Search,TRUE
NY-2018-WS-010,Search,TRUE
NY-2018-WS-009,Rescue,TRUE
NY-2018-WS-009,Rescue,TRUE
NY-2018-WS-008,Rescue,TRUE
NY-2018-WS-007,Rescue,FALSE
NY-2018-WS-006,Search,FALSE
NY-2018-WS-005,Search,TRUE
NY-2018-WS-005,Search,TRUE
NY-2018-WS-004,Rescue,TRUE
NY-2018-WS-003,Rescue,TRUE
NY-2018-WS-002,Rescue,TRUE
NY-2018-WS-001,Search,TRUE
NY-2017-WS-350,Rescue,TRUE
NY-2017-WS-349,Search,FALSE
NY-2017-WS-348,Rescue,TRUE
NY-2017-WS-348,Rescue,TRUE
NY-2017-WS-348,Rescue,TRUE
NY-2017-WS-347,Recovery,TRUE
NY-2017-WS-347,Recovery,FALSE
NY-2017-WS-347,Recovery,TRUE
NY-2017-WS-346,Search,TRUE
NY-2017-WS-345,Search,TRUE
NY-2017-WS-345,Search,TRUE
NY-2017-WS-345,Search,TRUE
NY-2017-WS-345,Search,TRUE
NY-2017-WS-345,Search,TRUE
NY-2017-WS-345,Search,TRUE
NY-2017-WS-344,Search,TRUE
NY-2017-WS-343,Rescue,TRUE
NY-2017-WS-342,Search,TRUE
NY-2017-WS-341,Search,TRUE
NY-2017-WS-340,Search,TRUE
NY-2017-WS-339,Search,TRUE
NY-2017-WS-338,Search,TRUE
NY-2017-WS-337,Search,TRUE
NY-2017-WS-336,Search,TRUE
NY-2017-WS-335,Search,TRUE
NY-2017-WS-334,Search,TRUE
NY-2017-WS-333,Search,TRUE
NY-2017-WS-332,Rescue,TRUE
NY-2017-WS-332,Rescue,TRUE
